-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2013 through 11/30/2022 
Location: Latitude  -3.1   Longitude -60.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 51.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
PS                    MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS10M,WS10M_MAX,WS10M_MIN,WD10M,PS
2013,2,14,4.97,0.47,25.44,28.26,23.01,1.63,87.25,1.54,1.97,0.79,100.25,100.49
2013,2,15,2.52,0.23,25.69,28.37,23.33,14.92,89.5,1.06,1.94,0.36,113.31,100.53
2013,2,16,4.88,0.46,25.85,28.83,23.65,7.18,86.31,1.11,1.84,0.57,77.5,100.41
2013,2,17,4.56,0.43,26.16,28.73,24.21,3.97,86.25,1.14,1.83,0.27,73.69,100.4
2013,2,18,3.67,0.34,26.23,28.87,23.81,3.89,88.0,1.27,1.78,0.62,94.0,100.39
2013,2,19,4.58,0.43,25.96,27.94,24.41,11.02,90.88,1.16,1.78,0.41,103.75,100.37
2013,2,20,4.02,0.38,25.9,27.94,24.32,10.6,89.75,1.2,1.7,0.41,71.44,100.31
2013,2,21,3.67,0.34,25.4,27.12,24.14,9.84,93.38,1.12,1.58,0.53,104.69,100.33
2013,2,22,3.96,0.38,25.33,26.92,24.11,9.79,92.75,1.05,1.6,0.55,107.56,100.42
2013,2,23,4.56,0.43,25.87,28.19,23.94,4.08,88.75,1.12,1.65,0.36,79.25,100.42
2013,2,24,4.74,0.45,26.11,28.43,24.73,10.17,87.56,0.93,1.54,0.12,96.44,100.36
2013,2,25,4.78,0.45,25.45,27.6,24.13,4.52,91.62,1.33,1.57,0.83,79.88,100.34
2013,2,26,4.56,0.43,26.25,29.22,23.44,5.44,88.62,1.47,2.02,0.98,79.88,100.38
2013,2,27,4.96,0.47,26.83,29.64,24.54,3.07,88.94,1.39,1.78,0.84,94.0,100.36
2013,2,28,5.37,0.51,26.55,28.81,24.69,2.92,89.94,1.42,2.07,0.56,93.19,100.27
2013,3,1,3.25,0.3,26.02,27.88,24.65,4.55,90.19,1.22,1.59,0.6,77.88,100.25
2013,3,2,4.27,0.4,26.15,29.03,24.07,5.99,90.62,1.37,1.78,1.0,81.31,100.27
2013,3,3,1.94,0.18,25.32,26.93,24.23,12.51,94.0,1.3,1.66,0.84,102.88,100.49
2013,3,4,2.25,0.21,25.98,28.85,23.85,19.87,89.88,1.24,1.73,0.53,92.19,100.51
2013,3,5,4.08,0.38,26.47,29.29,24.18,7.25,85.75,1.15,1.59,0.59,82.62,100.48
2013,3,6,3.0,0.28,26.93,29.4,24.91,41.09,87.56,0.98,1.55,0.54,87.56,100.48
2013,3,7,2.18,0.2,25.12,27.33,23.83,11.46,92.88,1.2,1.52,0.7,78.31,100.65
2013,3,8,4.44,0.42,25.81,28.16,23.55,0.89,89.69,1.29,1.56,0.6,100.31,100.62
2013,3,9,4.57,0.43,26.61,29.43,24.43,2.01,87.62,1.34,1.57,0.81,91.81,100.48
2013,3,10,6.27,0.59,27.26,30.4,24.61,0.38,86.81,1.51,1.89,0.88,81.88,100.33
2013,3,11,6.14,0.58,26.9,29.01,25.34,1.92,90.88,1.23,1.48,0.62,89.25,100.2
2013,3,12,5.57,0.53,27.13,29.68,25.13,2.79,90.38,1.2,1.52,0.64,76.06,100.25
2013,3,13,3.98,0.38,26.97,29.04,25.44,2.27,91.31,1.0,1.54,0.48,87.94,100.26
2013,3,14,2.96,0.28,26.8,28.87,25.23,4.08,90.75,1.04,1.59,0.48,109.81,100.27
2013,3,15,3.26,0.31,26.29,28.19,24.98,6.33,91.06,0.89,1.49,0.2,118.69,100.27
2013,3,16,3.89,0.37,26.15,27.87,24.53,13.32,90.75,1.06,1.55,0.45,99.81,100.32
2013,3,17,1.46,0.14,25.83,26.7,25.05,60.91,92.44,0.9,1.56,0.23,98.94,100.45
2013,3,18,1.41,0.13,26.09,28.35,24.59,21.27,87.19,0.81,1.5,0.05,134.5,100.48
2013,3,19,3.62,0.34,25.65,27.87,24.2,7.36,92.31,1.18,1.64,0.8,98.44,100.38
2013,3,20,4.43,0.42,26.32,28.71,23.98,0.77,90.25,1.31,1.84,0.64,91.5,100.3
2013,3,21,6.03,0.58,26.18,28.08,24.47,0.02,89.5,1.44,2.05,0.8,86.75,100.35
2013,3,22,4.19,0.4,26.33,28.74,24.77,0.81,89.44,1.14,1.45,0.7,88.81,100.45
2013,3,23,2.96,0.28,25.26,26.41,24.14,36.78,92.25,0.89,1.55,0.3,154.94,100.51
2013,3,24,4.06,0.39,24.9,27.55,23.05,5.7,91.75,1.27,1.7,0.96,58.12,100.4
2013,3,25,5.72,0.55,26.3,29.65,22.98,0.23,86.62,1.47,1.83,0.74,85.19,100.36
2013,3,26,6.25,0.6,26.83,29.87,24.35,0.05,86.31,1.39,1.8,0.79,86.88,100.46
2013,3,27,5.56,0.54,26.67,29.1,24.46,6.97,88.0,1.41,1.93,0.75,90.56,100.45
2013,3,28,4.23,0.41,25.69,27.09,24.52,13.14,92.38,1.08,1.59,0.27,136.75,100.49
2013,3,29,2.7,0.26,25.54,27.6,24.05,6.82,91.75,0.94,1.7,0.08,102.06,100.61
2013,3,30,5.49,0.53,25.95,28.94,23.44,1.5,87.5,1.38,1.71,0.72,82.31,100.64
2013,3,31,5.88,0.57,26.32,28.8,24.2,3.05,89.25,1.29,1.59,0.54,89.19,100.6
2013,4,1,3.95,0.38,25.7,27.12,24.71,4.28,92.19,1.34,1.81,0.57,92.88,100.59
2013,4,2,5.57,0.55,26.61,29.63,24.3,3.85,89.0,1.37,1.9,0.86,83.56,100.47
2013,4,3,4.9,0.48,26.11,28.3,24.3,4.94,91.25,1.4,1.82,0.6,86.56,100.46
2013,4,4,4.15,0.41,26.12,28.06,24.69,3.55,92.06,1.08,1.69,0.31,69.62,100.48
2013,4,5,4.73,0.46,27.01,30.08,24.48,1.05,87.81,1.28,1.59,0.8,92.31,100.44
2013,4,6,5.75,0.56,26.89,29.57,24.36,0.97,88.5,1.44,1.97,0.65,94.5,100.51
2013,4,7,5.53,0.55,26.97,29.37,24.84,3.25,90.25,1.35,1.77,0.64,86.81,100.45
2013,4,8,4.89,0.48,26.88,29.42,24.96,8.76,90.44,1.29,1.49,0.84,114.69,100.4
2013,4,9,2.07,0.2,25.8,27.04,24.66,15.95,94.25,1.2,1.54,0.55,126.0,100.45
2013,4,10,4.26,0.42,25.98,28.84,24.05,6.22,88.12,1.3,1.59,0.75,62.44,100.45
2013,4,11,6.25,0.62,26.35,29.51,23.55,0.4,88.06,1.51,2.03,1.16,78.12,100.37
2013,4,12,5.79,0.58,26.37,28.57,24.43,1.09,89.06,1.47,1.88,0.91,89.88,100.4
2013,4,13,5.87,0.59,26.87,29.64,24.53,0.67,89.44,1.52,1.98,0.85,95.12,100.36
2013,4,14,5.44,0.55,27.08,29.62,25.14,0.23,89.0,1.25,1.52,0.8,98.94,100.37
2013,4,15,4.77,0.48,26.77,28.37,25.42,10.52,91.19,1.09,1.6,0.45,145.94,100.47
2013,4,16,2.37,0.23,26.23,27.32,25.28,6.21,89.75,0.78,1.63,0.14,158.44,100.49
2013,4,17,4.62,0.47,25.7,27.61,24.4,8.71,88.38,1.12,1.65,0.54,210.56,100.49
2013,4,18,3.99,0.41,25.05,26.62,24.07,7.05,90.44,1.13,1.5,0.56,103.56,100.5
2013,4,19,4.25,0.43,26.19,29.13,23.5,2.06,84.06,1.1,1.66,0.45,120.38,100.5
2013,4,20,5.15,0.52,26.05,27.98,24.69,24.7,89.0,1.28,1.83,0.86,202.25,100.53
2013,4,21,3.71,0.38,25.46,27.95,23.98,47.01,89.12,1.29,1.68,0.87,274.31,100.56
2013,4,22,2.56,0.26,25.67,28.07,23.89,14.39,86.5,0.92,1.5,0.23,234.44,100.56
2013,4,23,4.86,0.5,26.57,29.22,24.05,0.5,83.31,1.03,1.88,0.12,63.5,100.48
2013,4,24,5.09,0.52,26.32,28.41,24.58,2.55,88.56,1.02,1.8,0.02,113.81,100.48
2013,4,25,3.84,0.39,25.74,27.11,24.58,4.48,92.88,1.12,1.7,0.68,117.25,100.52
2013,4,26,3.79,0.39,26.15,29.01,23.77,0.91,88.88,1.27,1.69,0.84,104.81,100.53
2013,4,27,4.66,0.48,26.15,28.69,23.98,2.18,87.62,1.19,1.61,0.7,97.38,100.44
2013,4,28,3.0,0.31,25.65,26.83,24.45,7.86,92.88,1.08,1.62,0.12,101.81,100.44
2013,4,29,4.97,0.52,25.98,28.37,24.32,2.42,89.81,1.14,1.88,0.51,78.06,100.44
2013,4,30,4.13,0.43,26.29,28.71,24.18,7.53,88.56,1.19,1.66,0.49,80.81,100.48
2013,5,1,5.17,0.54,26.17,28.56,24.15,9.79,88.88,1.2,1.81,0.59,77.44,100.5
2013,5,2,4.2,0.44,26.15,28.98,23.94,6.9,88.62,1.19,1.54,0.8,92.75,100.51
2013,5,3,5.55,0.58,26.01,28.34,24.04,0.9,89.69,1.09,1.82,0.48,76.0,100.46
2013,5,4,3.63,0.38,25.65,26.95,24.7,7.68,93.69,1.07,1.71,0.36,84.38,100.47
2013,5,5,5.94,0.62,26.44,29.3,24.04,0.27,88.25,1.29,1.81,0.55,96.88,100.51
2013,5,6,3.82,0.41,25.79,27.15,24.54,3.34,90.5,1.03,1.65,0.12,138.62,100.67
2013,5,7,5.23,0.55,26.16,28.51,23.75,3.26,84.12,0.96,1.9,0.16,246.44,100.75
2013,5,8,5.0,0.53,25.14,26.51,24.13,6.56,93.94,0.97,1.59,0.06,156.88,100.81
2013,5,9,5.17,0.55,25.69,28.11,23.79,9.73,87.62,0.98,1.72,0.27,177.0,100.76
2013,5,10,4.48,0.48,26.2,28.81,24.03,7.8,87.06,1.12,1.77,0.38,96.38,100.65
2013,5,11,2.48,0.27,25.58,27.49,24.23,7.12,90.75,1.33,1.89,0.66,92.31,100.6
2013,5,12,5.59,0.59,26.09,28.65,23.51,13.45,87.12,1.31,1.88,0.43,105.5,100.5
2013,5,13,3.31,0.35,25.98,27.75,24.7,8.11,90.62,1.19,1.88,0.49,60.5,100.52
2013,5,14,5.88,0.63,26.77,29.39,24.47,1.38,85.62,1.36,1.85,0.62,88.38,100.49
2013,5,15,4.03,0.44,26.99,29.27,24.7,3.44,87.06,1.29,1.91,0.42,102.12,100.36
2013,5,16,5.47,0.59,26.39,28.0,24.94,8.65,92.5,1.26,1.9,0.35,57.06,100.42
2013,5,17,2.95,0.32,25.87,27.9,24.59,5.4,91.38,1.07,1.56,0.11,75.69,100.56
2013,5,18,3.39,0.37,26.57,28.85,24.97,3.24,85.88,0.99,1.42,0.52,58.0,100.6
2013,5,19,5.5,0.6,26.47,28.72,25.03,5.26,88.12,1.09,1.53,0.57,108.75,100.6
2013,5,20,5.78,0.63,26.27,28.74,24.23,3.94,90.62,1.33,1.69,0.88,93.19,100.47
2013,5,21,4.75,0.52,25.96,27.68,24.65,19.86,93.44,1.06,1.58,0.45,102.56,100.37
2013,5,22,3.3,0.36,26.0,28.06,24.07,10.04,91.19,1.11,1.46,0.18,68.88,100.43
2013,5,23,3.73,0.41,26.18,27.43,24.94,10.44,88.19,0.58,1.34,0.07,106.06,100.51
2013,5,24,3.88,0.42,25.48,26.3,24.87,11.34,89.0,0.76,1.22,0.17,139.0,100.65
2013,5,25,4.74,0.52,25.78,27.79,24.58,3.36,86.06,1.02,1.6,0.42,78.12,100.66
2013,5,26,4.9,0.54,25.75,28.14,23.76,2.84,88.75,1.38,1.75,0.92,76.81,100.59
2013,5,27,4.04,0.45,25.12,26.76,23.55,3.87,89.19,1.37,1.86,0.69,79.38,100.59
2013,5,28,3.97,0.44,25.55,27.73,23.8,6.5,87.06,1.22,1.98,0.66,84.12,100.49
2013,5,29,4.89,0.54,25.94,28.31,24.16,6.38,89.19,1.23,1.98,0.66,82.75,100.43
2013,5,30,5.55,0.62,26.28,29.01,23.94,0.22,87.62,1.37,1.86,0.87,92.19,100.49
2013,5,31,5.74,0.64,26.5,29.27,24.1,0.02,86.94,1.48,1.88,0.86,86.38,100.47
2013,6,1,5.42,0.6,26.63,29.06,24.45,0.06,86.44,1.49,2.01,0.7,108.75,100.48
2013,6,2,4.75,0.53,26.19,28.15,24.77,0.82,88.62,1.23,1.78,0.69,122.31,100.62
2013,6,3,5.87,0.66,26.19,28.77,24.24,0.31,87.19,1.43,1.77,0.81,106.31,100.67
2013,6,4,5.3,0.59,25.77,27.62,24.16,0.11,89.81,1.23,1.77,0.59,111.38,100.6
2013,6,5,5.6,0.62,26.41,29.23,23.77,0.01,87.25,1.26,1.88,0.46,118.44,100.54
2013,6,6,4.81,0.54,25.53,27.19,24.37,1.72,91.94,1.17,1.7,0.4,110.94,100.58
2013,6,7,2.85,0.32,25.51,27.73,23.76,8.41,90.31,1.3,1.62,0.57,104.12,100.65
2013,6,8,4.7,0.52,25.31,27.42,23.83,7.71,92.62,1.3,1.74,0.62,105.31,100.67
2013,6,9,4.12,0.46,25.76,28.05,23.8,2.1,86.81,0.93,1.64,0.16,119.62,100.61
2013,6,10,4.5,0.51,26.53,28.83,24.91,2.61,84.62,0.8,1.67,0.18,128.31,100.54
2013,6,11,5.23,0.59,26.37,29.1,24.09,0.66,87.81,1.48,1.96,0.78,97.25,100.61
2013,6,12,4.52,0.51,26.41,28.87,23.98,0.56,88.44,1.31,1.9,0.6,114.44,100.65
2013,6,13,4.36,0.49,26.06,27.87,24.58,1.19,89.75,1.0,1.64,0.37,117.56,100.6
2013,6,14,3.99,0.45,26.69,28.9,25.12,2.69,85.38,0.87,1.69,0.04,107.44,100.53
2013,6,15,4.88,0.55,26.26,28.48,24.62,0.85,87.88,1.18,1.72,0.77,85.75,100.51
2013,6,16,5.7,0.64,26.42,29.15,24.49,0.03,88.06,1.28,1.73,0.81,94.56,100.47
2013,6,17,5.33,0.6,26.29,28.83,23.98,0.09,90.25,1.4,1.66,0.91,90.5,100.45
2013,6,18,4.92,0.55,26.51,28.97,24.58,1.05,89.75,1.34,1.8,0.93,77.94,100.42
2013,6,19,5.23,0.59,25.98,27.92,24.52,0.54,91.62,1.18,1.46,0.67,86.38,100.43
2013,6,20,5.88,0.66,26.3,28.98,24.08,0.21,88.5,1.39,1.95,0.8,89.69,100.43
2013,6,21,5.12,0.58,26.51,29.11,24.01,1.73,88.94,1.23,1.78,0.57,89.5,100.47
2013,6,22,5.58,0.63,26.36,28.63,24.71,3.39,91.06,1.32,1.85,0.59,93.62,100.48
2013,6,23,5.54,0.62,26.21,28.4,24.7,1.14,91.44,1.21,1.55,0.66,86.06,100.51
2013,6,24,5.47,0.62,26.3,28.7,24.05,0.27,89.62,1.34,1.82,0.56,94.0,100.52
2013,6,25,4.26,0.48,26.24,28.58,23.96,4.35,88.0,1.33,1.92,0.5,69.56,100.59
2013,6,26,5.66,0.64,26.56,29.15,24.26,0.87,85.25,1.27,1.91,0.46,101.75,100.62
2013,6,27,5.14,0.58,26.67,29.37,24.69,0.38,87.06,1.49,1.95,0.8,104.81,100.65
2013,6,28,5.39,0.61,26.46,28.87,24.45,2.37,88.0,1.21,1.84,0.55,86.75,100.5
2013,6,29,5.2,0.59,26.19,28.37,24.65,3.23,89.88,1.2,1.92,0.44,76.88,100.47
2013,6,30,3.71,0.42,25.73,28.0,23.72,5.51,89.31,1.12,1.99,0.3,90.75,100.53
2013,7,1,4.65,0.52,25.76,27.93,24.08,7.59,86.12,1.01,1.62,0.32,123.38,100.63
2013,7,2,4.47,0.5,25.9,27.65,24.37,6.36,83.69,0.71,1.55,0.24,129.25,100.67
2013,7,3,2.79,0.31,25.65,27.05,24.5,10.26,86.06,0.82,1.41,0.47,261.94,100.67
2013,7,4,3.53,0.4,24.98,27.13,23.16,15.12,89.94,1.26,1.75,0.52,59.31,100.76
2013,7,5,5.67,0.64,24.73,27.01,22.76,1.13,88.12,1.01,1.56,0.31,156.0,100.75
2013,7,6,3.98,0.45,25.33,26.95,23.94,6.44,89.38,1.12,1.61,0.32,91.81,100.61
2013,7,7,5.43,0.61,25.56,28.37,23.26,2.45,89.75,1.24,1.88,0.55,97.31,100.6
2013,7,8,5.31,0.59,25.97,28.57,23.6,1.05,86.69,1.34,1.98,0.59,119.0,100.7
2013,7,9,5.0,0.56,26.01,28.35,24.44,0.34,86.69,1.37,2.05,0.6,113.94,100.73
2013,7,10,4.48,0.5,25.35,26.94,23.52,2.21,91.0,1.15,1.7,0.25,74.19,100.67
2013,7,11,4.59,0.52,25.72,28.15,23.9,9.82,87.5,1.04,1.68,0.19,109.56,100.63
2013,7,12,5.98,0.66,25.78,28.41,23.84,0.86,87.88,1.33,1.77,0.67,117.69,100.62
2013,7,13,5.9,0.66,25.95,28.7,23.58,0.12,85.0,1.47,2.13,0.84,112.31,100.67
2013,7,14,4.92,0.55,26.06,28.55,23.69,2.01,86.62,1.48,1.75,0.7,103.06,100.62
2013,7,15,5.31,0.59,25.78,28.23,23.39,1.21,85.75,1.45,1.84,0.86,86.5,100.68
2013,7,16,5.24,0.58,26.26,28.94,23.88,1.76,87.19,1.34,1.82,0.8,94.38,100.62
2013,7,17,5.25,0.58,26.05,28.21,24.23,0.37,87.69,1.34,1.69,0.95,81.44,100.62
2013,7,18,5.85,0.65,26.02,28.87,23.34,0.0,86.5,1.38,1.77,0.88,88.88,100.59
2013,7,19,6.0,0.66,26.3,29.08,23.74,1.2,86.44,1.4,1.75,0.88,104.75,100.57
2013,7,20,6.15,0.68,26.1,28.86,23.69,1.02,87.88,1.3,1.8,0.84,89.94,100.52
2013,7,21,4.4,0.48,25.46,27.85,23.95,1.31,89.81,1.34,1.63,1.02,71.44,100.56
2013,7,22,6.06,0.66,25.76,28.77,22.72,0.1,86.75,1.47,2.07,0.75,101.5,100.64
2013,7,23,5.93,0.65,26.16,28.98,23.3,2.02,85.75,1.46,2.06,0.73,113.5,100.57
2013,7,24,2.69,0.3,25.99,28.23,24.12,2.8,88.44,1.52,1.97,0.67,155.19,100.59
2013,7,25,5.05,0.55,24.32,25.5,23.3,0.13,84.44,1.48,2.02,0.49,180.94,100.87
2013,7,26,3.42,0.38,24.58,26.9,22.82,4.33,88.0,1.35,1.73,0.77,186.62,100.9
2013,7,27,4.77,0.52,24.54,26.39,22.94,12.4,89.88,0.88,1.47,0.35,201.31,100.83
2013,7,28,3.6,0.39,25.5,28.05,23.65,2.45,83.38,1.1,2.03,0.28,151.62,100.81
2013,7,29,5.31,0.58,25.85,28.83,22.98,8.33,84.88,1.39,2.09,0.62,102.44,100.78
2013,7,30,5.49,0.59,26.05,28.49,24.12,7.52,87.38,1.39,1.96,0.72,88.88,100.8
2013,7,31,5.9,0.63,26.15,28.97,23.82,1.23,87.0,1.34,1.71,0.98,55.75,100.73
2013,8,1,5.62,0.6,26.26,29.37,23.25,0.09,86.06,1.43,1.7,0.91,73.94,100.63
2013,8,2,5.94,0.64,26.53,29.62,23.63,0.09,85.75,1.37,1.71,0.8,76.88,100.59
2013,8,3,6.11,0.66,26.94,29.88,23.84,0.01,83.75,1.3,2.05,0.62,85.56,100.59
2013,8,4,6.12,0.66,26.91,29.58,24.75,0.86,83.44,1.34,1.98,0.63,88.75,100.59
2013,8,5,5.87,0.62,26.83,29.87,23.9,0.27,83.94,1.36,1.89,0.66,94.62,100.51
2013,8,6,4.93,0.52,25.79,27.35,24.58,5.61,90.31,1.18,1.73,0.24,73.81,100.53
2013,8,7,5.48,0.58,26.51,28.64,25.16,0.58,84.19,0.88,1.57,0.18,113.31,100.43
2013,8,8,5.08,0.54,26.89,29.6,24.05,1.78,83.12,1.22,1.8,0.45,62.25,100.3
2013,8,9,5.56,0.59,26.33,27.99,24.82,2.0,87.06,1.19,1.98,0.4,82.12,100.41
2013,8,10,4.58,0.48,26.17,27.42,24.78,0.15,86.44,1.09,1.84,0.38,85.56,100.49
2013,8,11,2.11,0.22,25.94,27.58,24.69,4.72,87.12,0.93,1.78,0.36,111.44,100.51
2013,8,12,4.0,0.42,26.43,28.67,24.98,2.06,83.94,0.9,1.7,0.41,137.38,100.45
2013,8,13,5.1,0.53,26.67,29.45,24.01,2.65,84.06,1.2,1.88,0.41,80.0,100.48
2013,8,14,4.42,0.46,26.32,28.12,24.79,4.16,88.56,1.31,1.86,0.62,133.38,100.52
2013,8,15,4.34,0.45,25.8,28.15,24.28,7.85,89.12,1.29,1.86,0.74,189.12,100.54
2013,8,16,5.01,0.52,25.76,27.65,23.55,1.29,81.62,1.16,1.59,0.7,186.94,100.6
