-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2013 through 11/30/2022 
Location: Latitude  -7.5   Longitude -63.03 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 66.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,ALLSKY_KT,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WD10M
2013,2,14,0.3,3.18,24.56,26.33,22.78,93.69,5.27,100.37,0.7,1.27,0.3,157.56
2013,2,15,0.53,5.76,25.44,29.55,21.89,86.38,2.54,100.38,0.74,1.38,0.12,102.5
2013,2,16,0.54,5.84,26.4,30.51,23.12,84.69,1.5,100.21,0.62,1.06,0.12,89.69
2013,2,17,0.48,5.14,26.14,29.75,23.5,86.44,0.96,100.2,0.72,1.12,0.37,102.56
2013,2,18,0.48,5.23,26.82,30.86,23.06,81.75,2.25,100.24,0.62,1.27,0.11,53.12
2013,2,19,0.52,5.65,26.79,30.23,23.5,81.94,1.77,100.23,0.62,1.3,0.12,104.5
2013,2,20,0.57,6.16,26.55,30.12,23.94,86.69,10.39,100.13,0.73,1.16,0.34,144.88
2013,2,21,0.45,4.85,25.72,27.82,24.36,92.75,12.93,100.17,0.55,0.96,0.05,173.38
2013,2,22,0.52,5.65,24.97,27.09,23.63,91.94,10.05,100.31,0.63,1.28,0.05,119.31
2013,2,23,0.49,5.25,25.37,27.54,23.44,91.56,16.98,100.27,0.57,1.12,0.05,118.5
2013,2,24,0.25,2.71,25.68,28.18,23.5,92.25,7.18,100.17,0.77,1.45,0.17,209.5
2013,2,25,0.46,4.94,25.9,29.08,23.63,90.88,3.0,100.12,0.91,1.51,0.52,61.62
2013,2,26,0.59,6.39,26.7,30.08,23.85,88.25,0.91,100.17,0.84,1.42,0.38,70.88
2013,2,27,0.43,4.63,25.9,28.01,23.93,93.69,12.82,100.21,0.82,1.4,0.28,153.5
2013,2,28,0.3,3.14,26.08,28.51,24.5,92.31,9.88,100.17,0.66,1.09,0.03,156.56
2013,3,1,0.37,3.89,26.59,30.16,23.48,87.25,0.99,100.07,0.62,1.09,0.23,175.19
2013,3,2,0.48,5.19,26.14,29.92,23.59,87.38,0.39,100.13,0.68,1.38,0.35,52.62
2013,3,3,0.52,5.51,26.3,29.15,24.4,90.25,8.3,100.34,0.66,1.02,0.38,76.5
2013,3,4,0.48,5.16,25.74,28.34,24.05,89.75,8.51,100.39,0.78,1.23,0.19,83.19
2013,3,5,0.46,4.94,26.16,29.38,22.84,86.44,6.03,100.35,0.71,1.25,0.2,136.88
2013,3,6,0.23,2.53,26.16,29.34,24.26,91.5,8.82,100.31,0.62,0.99,0.13,143.31
2013,3,7,0.38,3.97,24.98,27.33,23.54,94.19,1.68,100.47,0.78,1.08,0.41,113.75
2013,3,8,0.5,5.27,25.44,28.69,23.19,89.88,0.4,100.49,0.87,1.3,0.41,53.62
2013,3,9,0.47,4.97,26.77,30.68,22.78,85.88,0.91,100.29,0.82,1.42,0.33,54.0
2013,3,10,0.45,4.72,26.91,30.36,23.92,89.38,3.28,100.17,0.89,1.34,0.37,92.75
2013,3,11,0.48,5.1,26.34,28.64,24.73,91.44,1.61,100.1,0.66,1.27,0.29,269.5
2013,3,12,0.55,5.84,26.87,30.13,24.23,88.62,0.27,100.09,0.82,1.37,0.23,100.12
2013,3,13,0.56,5.94,27.33,30.51,24.28,86.81,5.96,100.11,0.84,1.35,0.34,56.69
2013,3,14,0.4,4.19,26.45,29.41,24.38,88.69,6.69,100.18,0.77,1.34,0.07,123.88
2013,3,15,0.57,5.97,26.51,29.94,23.64,86.75,0.87,100.14,0.73,1.17,0.11,72.75
2013,3,16,0.22,2.27,26.27,28.84,23.94,88.75,0.94,100.19,0.6,0.92,0.13,141.38
2013,3,17,0.41,4.24,25.54,27.39,23.78,93.5,10.75,100.32,0.69,1.24,0.2,227.12
2013,3,18,0.28,2.95,24.79,26.87,23.19,93.31,6.51,100.34,0.81,1.18,0.34,233.31
2013,3,19,0.45,4.67,25.69,29.36,22.83,90.19,1.31,100.19,0.73,1.16,0.33,41.81
2013,3,20,0.48,4.92,26.55,30.4,23.37,89.06,3.24,100.09,0.74,1.28,0.32,35.0
2013,3,21,0.27,2.82,25.69,27.74,24.29,93.62,2.12,100.18,0.7,1.01,0.12,73.94
2013,3,22,0.38,3.95,25.11,26.91,23.8,95.44,8.34,100.36,0.62,1.11,0.06,130.94
2013,3,23,0.45,4.7,25.99,29.89,22.94,88.81,2.58,100.28,0.58,1.05,0.06,112.38
2013,3,24,0.56,5.76,26.3,29.69,23.66,87.75,0.66,100.1,0.81,1.16,0.41,132.19
2013,3,25,0.52,5.35,26.71,30.25,23.97,86.06,0.19,100.09,0.86,1.19,0.43,50.62
2013,3,26,0.41,4.22,26.83,30.26,23.93,86.75,2.36,100.3,0.75,0.98,0.42,84.44
2013,3,27,0.55,5.66,27.15,30.91,23.82,84.5,0.92,100.31,0.47,0.82,0.08,206.06
2013,3,28,0.42,4.31,26.58,29.43,24.12,87.62,0.65,100.32,0.54,0.95,0.2,202.75
2013,3,29,0.5,5.06,26.21,29.4,23.99,87.06,0.63,100.4,0.61,0.98,0.15,50.94
2013,3,30,0.55,5.67,26.73,30.97,23.64,84.81,0.35,100.44,0.79,1.12,0.56,33.62
2013,3,31,0.41,4.14,26.31,29.88,23.51,87.38,11.11,100.44,0.89,1.28,0.48,26.06
2013,4,1,0.3,2.98,25.33,27.58,23.91,94.94,18.31,100.41,0.8,1.18,0.32,51.69
2013,4,2,0.58,5.86,26.78,30.05,24.05,85.12,3.38,100.33,0.63,1.27,0.22,49.75
2013,4,3,0.3,3.0,26.48,29.01,24.55,89.06,1.45,100.32,0.73,1.31,0.16,166.25
2013,4,4,0.41,4.12,26.79,29.99,24.44,86.12,0.76,100.32,0.74,1.26,0.19,130.88
2013,4,5,0.46,4.6,26.43,29.5,23.72,89.38,6.63,100.31,0.84,1.33,0.33,121.81
2013,4,6,0.41,4.09,25.83,28.48,23.89,94.5,4.04,100.37,0.83,1.41,0.32,58.06
2013,4,7,0.5,4.98,26.55,29.65,23.83,88.44,0.92,100.31,0.81,1.4,0.16,79.94
2013,4,8,0.3,2.96,25.4,27.26,23.76,93.44,6.73,100.33,0.84,1.48,0.26,128.19
2013,4,9,0.48,4.8,26.22,29.65,22.87,87.25,1.5,100.3,0.67,1.04,0.2,129.38
2013,4,10,0.41,4.07,26.98,30.83,23.65,85.06,0.52,100.21,0.8,1.26,0.41,109.31
2013,4,11,0.52,5.12,26.84,29.98,23.99,88.5,3.88,100.14,0.9,1.41,0.41,73.06
2013,4,12,0.53,5.2,26.57,29.4,24.43,88.38,1.04,100.24,0.75,1.4,0.28,77.12
2013,4,13,0.66,6.38,27.4,31.4,23.65,83.75,0.06,100.2,0.88,1.18,0.53,70.62
2013,4,14,0.61,5.97,27.61,30.78,24.72,84.62,0.28,100.24,0.64,1.14,0.21,160.62
2013,4,15,0.52,4.99,26.63,28.84,24.81,88.88,2.09,100.37,0.7,0.93,0.36,177.31
2013,4,16,0.52,4.97,25.88,28.37,24.05,92.5,20.68,100.38,0.85,1.38,0.29,235.56
2013,4,17,0.33,3.21,25.52,28.69,23.12,90.44,9.87,100.38,0.7,1.08,0.41,246.5
2013,4,18,0.58,5.57,25.9,29.29,22.6,86.56,1.8,100.29,0.8,1.37,0.22,131.5
2013,4,19,0.32,3.11,24.73,26.6,23.26,94.75,5.29,100.38,0.81,1.29,0.37,129.88
2013,4,20,0.4,3.81,25.91,29.23,23.0,88.75,3.08,100.38,0.72,1.32,0.22,129.88
2013,4,21,0.45,4.25,24.62,26.19,22.77,94.06,5.3,100.37,0.82,1.24,0.34,199.19
2013,4,22,0.47,4.45,25.55,29.65,22.08,86.69,1.49,100.38,1.02,1.33,0.59,171.69
2013,4,23,0.45,4.27,25.48,28.26,22.6,89.06,14.6,100.33,0.88,1.3,0.32,178.25
2013,4,24,0.44,4.12,25.68,28.5,23.28,92.38,9.12,100.3,0.78,1.38,0.31,140.44
2013,4,25,0.45,4.24,25.64,28.5,23.46,91.81,9.02,100.35,1.08,1.67,0.73,111.0
2013,4,26,0.52,4.92,25.89,29.29,23.12,91.19,9.03,100.35,0.84,1.01,0.41,86.12
2013,4,27,0.55,5.12,26.16,29.55,23.58,90.62,2.46,100.25,0.8,1.17,0.39,54.88
2013,4,28,0.58,5.39,26.12,29.44,23.75,90.0,0.73,100.22,0.74,1.0,0.49,77.0
2013,4,29,0.5,4.64,26.49,29.69,23.23,86.44,0.07,100.28,0.83,1.41,0.28,63.5
2013,4,30,0.4,3.71,26.42,29.01,23.88,87.12,0.13,100.29,0.59,1.32,0.15,127.06
2013,5,1,0.52,4.87,25.44,27.74,23.62,90.75,0.49,100.34,0.76,1.17,0.39,242.88
2013,5,2,0.59,5.46,25.68,29.07,22.94,89.25,0.08,100.32,0.66,1.35,0.15,103.81
2013,5,3,0.59,5.47,25.87,28.76,23.58,89.44,0.22,100.29,0.64,1.39,0.13,136.88
2013,5,4,0.66,6.03,25.88,28.6,23.58,91.25,4.34,100.29,0.67,1.2,0.31,53.44
2013,5,5,0.48,4.37,26.61,30.04,23.07,85.44,1.39,100.37,0.73,1.18,0.34,82.25
2013,5,6,0.59,5.37,27.13,30.62,24.05,85.75,4.74,100.45,0.69,1.11,0.14,230.12
2013,5,7,0.32,2.94,25.21,27.17,23.51,92.94,1.83,100.65,0.73,1.27,0.38,259.75
2013,5,8,0.46,4.14,26.19,30.39,22.27,85.88,0.59,100.58,0.86,1.51,0.2,142.0
2013,5,9,0.45,4.05,25.8,28.86,23.95,89.56,0.55,100.56,0.7,1.08,0.12,224.38
2013,5,10,0.55,4.89,26.62,30.62,23.38,85.38,0.35,100.44,0.73,1.11,0.43,25.12
2013,5,11,0.45,4.03,25.71,28.45,23.75,92.69,9.74,100.41,0.84,1.23,0.4,152.06
2013,5,12,0.52,4.67,26.59,30.26,23.52,85.56,2.72,100.34,0.69,1.31,0.38,106.06
2013,5,13,0.45,4.01,26.7,29.37,23.72,86.0,2.41,100.34,0.65,1.34,0.31,129.81
2013,5,14,0.55,4.87,25.75,28.28,23.97,92.12,3.18,100.33,0.77,1.38,0.2,68.81
2013,5,15,0.55,4.85,26.91,30.74,23.4,83.38,0.07,100.23,0.63,1.32,0.16,118.5
2013,5,16,0.62,5.53,27.07,30.84,23.98,84.44,0.82,100.24,0.88,1.2,0.51,101.25
2013,5,17,0.6,5.27,26.54,29.68,23.9,88.94,2.55,100.35,0.98,1.44,0.45,98.56
2013,5,18,0.32,2.8,26.34,29.19,23.94,89.69,2.28,100.44,0.75,1.32,0.27,171.94
2013,5,19,0.59,5.15,26.76,30.76,23.47,85.38,0.8,100.45,0.77,1.13,0.33,121.06
2013,5,20,0.55,4.8,27.56,31.61,22.81,80.06,0.38,100.31,0.88,1.53,0.38,111.38
2013,5,21,0.6,5.26,27.09,31.04,23.98,83.62,0.73,100.19,0.8,1.2,0.5,174.69
2013,5,22,0.38,3.29,26.72,29.83,23.82,86.88,1.15,100.22,0.72,1.21,0.23,230.81
2013,5,23,0.52,4.49,25.38,26.56,24.4,90.56,5.09,100.38,0.44,1.05,0.1,203.44
2013,5,24,0.5,4.34,25.69,29.58,22.96,86.88,1.24,100.47,0.78,1.28,0.42,115.69
2013,5,25,0.52,4.44,26.37,30.02,23.19,85.0,2.57,100.47,0.66,0.88,0.36,63.75
2013,5,26,0.41,3.49,26.1,29.3,23.81,85.44,3.14,100.43,0.74,1.11,0.26,125.62
2013,5,27,0.41,3.57,25.4,28.65,23.25,89.0,3.3,100.41,0.8,1.22,0.51,120.5
2013,5,28,0.49,4.25,25.21,28.75,22.48,88.38,0.14,100.3,0.86,1.27,0.41,279.81
2013,5,29,0.55,4.72,26.15,30.5,22.73,85.12,0.0,100.24,0.93,1.34,0.53,140.31
2013,5,30,0.62,5.32,26.72,30.55,23.19,83.25,1.88,100.33,0.77,1.3,0.09,86.94
2013,5,31,0.57,4.84,26.34,29.6,23.63,85.31,3.41,100.33,0.84,1.39,0.43,112.31
2013,6,1,0.51,4.36,27.0,30.55,24.45,81.25,0.61,100.36,0.53,0.92,0.2,186.88
2013,6,2,0.66,5.6,26.64,29.5,24.07,82.12,0.01,100.49,0.7,1.12,0.22,234.25
2013,6,3,0.56,4.78,26.25,29.19,23.65,85.88,3.58,100.52,0.75,1.31,0.21,100.94
2013,6,4,0.52,4.41,26.39,29.88,23.37,83.19,3.42,100.46,0.7,1.41,0.31,95.81
2013,6,5,0.45,3.8,25.54,27.74,23.62,88.0,6.22,100.43,0.62,1.12,0.28,144.5
2013,6,6,0.53,4.52,25.48,29.45,22.36,88.19,2.98,100.44,1.0,1.48,0.43,125.06
2013,6,7,0.52,4.43,25.71,29.5,22.34,87.56,2.54,100.5,0.95,1.38,0.35,98.94
2013,6,8,0.55,4.68,25.22,28.27,23.26,91.5,12.17,100.58,0.81,1.25,0.32,175.44
2013,6,9,0.6,5.03,25.92,29.71,22.57,85.94,3.07,100.46,0.61,1.34,0.17,152.5
2013,6,10,0.58,4.85,26.58,30.4,22.66,82.81,0.49,100.38,0.87,1.42,0.35,125.0
2013,6,11,0.61,5.09,26.37,30.88,22.49,83.44,0.11,100.46,1.08,1.47,0.71,87.5
2013,6,12,0.69,5.78,26.93,31.35,21.8,79.06,0.0,100.52,0.88,1.58,0.15,109.62
2013,6,13,0.69,5.74,26.95,31.55,22.87,78.5,0.01,100.44,0.9,1.31,0.51,162.81
2013,6,14,0.63,5.29,26.94,31.63,23.48,78.19,0.03,100.37,0.74,1.13,0.28,164.94
2013,6,15,0.62,5.19,27.15,32.0,23.38,79.94,1.75,100.33,0.66,0.95,0.35,110.69
2013,6,16,0.56,4.71,27.3,32.12,23.6,81.12,0.38,100.28,0.84,1.37,0.59,28.69
2013,6,17,0.49,4.11,27.58,32.13,23.55,79.88,1.74,100.3,0.95,1.35,0.62,56.81
2013,6,18,0.55,4.66,26.77,30.08,24.4,85.19,0.82,100.26,0.91,1.12,0.5,59.44
2013,6,19,0.45,3.7,26.44,29.57,23.55,83.88,1.32,100.28,0.63,1.17,0.17,116.25
2013,6,20,0.64,5.36,26.95,31.46,23.49,79.25,0.5,100.29,0.77,1.26,0.45,117.94
2013,6,21,0.62,5.13,26.57,31.03,22.91,82.62,3.4,100.34,0.67,1.22,0.14,120.88
2013,6,22,0.62,5.21,27.06,31.74,23.73,81.5,0.79,100.33,0.85,1.15,0.5,51.69
2013,6,23,0.59,4.88,26.94,31.23,23.51,83.75,0.58,100.34,0.87,1.27,0.47,69.75
2013,6,24,0.62,5.14,27.56,32.5,24.0,80.19,1.28,100.36,0.92,1.15,0.46,65.94
2013,6,25,0.67,5.59,27.72,32.86,24.31,79.19,1.76,100.38,0.7,0.97,0.12,131.31
2013,6,26,0.62,5.22,27.34,32.28,23.5,79.81,0.07,100.42,0.91,1.27,0.62,34.0
2013,6,27,0.57,4.76,27.6,32.67,23.7,77.88,0.36,100.45,0.87,1.22,0.61,99.81
2013,6,28,0.62,5.21,27.34,31.83,24.17,79.0,0.24,100.3,0.71,0.97,0.47,92.94
2013,6,29,0.4,3.33,26.06,29.09,23.93,86.88,3.71,100.31,0.79,1.22,0.39,133.38
2013,6,30,0.42,3.57,25.62,29.25,23.12,85.81,0.92,100.37,0.79,1.28,0.12,78.44
2013,7,1,0.59,4.91,26.73,31.05,22.93,78.69,1.26,100.46,0.56,1.05,0.25,249.94
2013,7,2,0.45,3.81,26.47,30.86,23.59,81.62,2.78,100.49,0.7,1.02,0.13,248.06
2013,7,3,0.31,2.66,25.83,29.83,23.12,84.94,2.61,100.48,0.58,1.0,0.29,229.56
2013,7,4,0.55,4.67,26.15,30.46,23.29,84.25,4.15,100.54,0.76,1.27,0.37,36.94
2013,7,5,0.49,4.13,26.09,30.48,23.18,83.62,1.84,100.57,0.75,1.17,0.14,31.75
2013,7,6,0.65,5.5,26.79,32.07,22.78,79.19,1.52,100.42,0.77,1.05,0.05,130.0
2013,7,7,0.61,5.12,27.39,32.86,23.05,76.56,0.52,100.42,0.88,1.18,0.47,63.44
2013,7,8,0.68,5.76,27.93,33.55,23.93,71.94,0.68,100.54,0.91,1.27,0.63,92.31
2013,7,9,0.66,5.59,27.14,31.51,24.12,72.88,0.13,100.55,0.91,1.09,0.5,92.19
2013,7,10,0.6,5.08,27.43,32.92,23.1,74.81,0.93,100.49,0.77,0.98,0.51,102.62
2013,7,11,0.63,5.4,27.56,33.61,23.2,75.19,5.59,100.41,0.71,0.96,0.13,132.5
2013,7,12,0.58,4.91,27.06,32.48,23.42,80.88,9.46,100.44,0.7,1.09,0.28,61.31
2013,7,13,0.69,5.84,26.69,32.3,22.79,79.69,1.65,100.48,0.96,1.37,0.34,38.31
2013,7,14,0.71,6.05,26.94,33.12,21.66,74.81,0.12,100.46,0.98,1.58,0.76,67.94
2013,7,15,0.68,5.81,27.67,33.98,22.21,73.0,0.97,100.46,0.8,1.5,0.48,86.75
2013,7,16,0.65,5.53,27.9,33.51,23.69,74.56,2.24,100.42,0.94,1.3,0.61,82.56
2013,7,17,0.46,3.97,26.01,29.2,23.17,85.25,4.38,100.48,1.02,1.41,0.58,70.81
2013,7,18,0.61,5.24,26.05,30.83,22.89,81.19,0.3,100.43,0.88,1.29,0.41,114.44
2013,7,19,0.65,5.58,27.05,33.3,21.69,75.38,0.0,100.39,0.93,1.3,0.53,156.75
2013,7,20,0.64,5.54,27.3,32.78,23.33,76.75,0.0,100.32,0.66,1.0,0.35,219.31
2013,7,21,0.66,5.67,26.86,31.78,23.59,82.5,14.31,100.32,0.77,0.98,0.61,198.62
2013,7,22,0.41,3.61,25.66,29.52,23.33,87.31,20.41,100.48,0.59,1.0,0.03,140.5
2013,7,23,0.34,2.92,26.13,30.26,21.99,84.25,3.24,100.43,0.79,1.44,0.23,177.19
2013,7,24,0.34,3.0,24.4,28.23,20.74,70.69,0.03,100.62,1.18,1.59,0.65,186.56
2013,7,25,0.72,6.27,23.07,29.11,18.59,70.25,0.0,100.83,0.98,1.91,0.52,202.56
2013,7,26,0.7,6.11,24.33,31.06,18.09,73.38,0.0,100.82,0.8,1.23,0.2,223.0
2013,7,27,0.67,5.93,26.28,32.68,20.92,72.19,0.0,100.67,0.66,1.24,0.12,249.75
2013,7,28,0.6,5.27,27.3,33.62,21.51,74.12,0.21,100.6,0.72,1.23,0.41,208.69
2013,7,29,0.63,5.61,28.77,34.58,24.1,68.06,0.01,100.56,0.72,1.11,0.11,122.62
2013,7,30,0.7,6.16,28.99,35.58,24.44,66.38,0.0,100.55,0.7,1.12,0.38,145.81
2013,7,31,0.63,5.63,28.31,34.36,23.42,71.62,0.49,100.49,0.88,1.16,0.62,164.25
2013,8,1,0.62,5.54,28.54,34.62,23.26,70.75,0.12,100.41,0.88,1.14,0.54,135.5
2013,8,2,0.64,5.72,29.06,35.55,23.63,68.88,0.02,100.39,0.82,1.13,0.5,138.81
2013,8,3,0.62,5.6,29.51,35.9,23.81,67.06,0.4,100.37,0.75,1.01,0.34,158.25
2013,8,4,0.66,5.95,28.96,34.68,24.83,69.31,0.08,100.36,0.7,1.01,0.27,134.25
2013,8,5,0.72,6.46,29.31,36.65,24.13,62.44,0.0,100.29,1.0,1.35,0.57,66.94
2013,8,6,0.7,6.38,29.01,36.59,23.54,62.38,0.0,100.33,0.84,1.1,0.34,140.38
2013,8,7,0.7,6.35,28.61,34.73,23.6,67.31,0.0,100.2,0.77,1.01,0.52,158.0
2013,8,8,0.63,5.73,29.15,35.94,23.63,65.62,0.0,100.07,0.81,1.14,0.53,172.0
2013,8,9,0.56,5.14,29.5,36.26,23.99,65.44,0.4,100.19,0.73,0.95,0.26,228.44
2013,8,10,0.54,4.92,29.31,34.38,25.42,65.38,0.05,100.31,0.56,1.08,0.1,170.38
2013,8,11,0.69,6.3,28.72,35.73,23.2,53.62,0.0,100.33,0.85,1.3,0.24,198.62
2013,8,12,0.69,6.32,27.69,34.68,21.23,59.62,0.0,100.24,0.74,1.02,0.12,224.31
2013,8,13,0.53,4.9,28.69,35.44,22.81,66.12,0.64,100.29,0.62,0.86,0.33,134.0
2013,8,14,0.5,4.59,28.44,32.73,24.73,66.62,0.11,100.41,1.12,1.96,0.44,200.19
2013,8,15,0.69,6.35,28.33,34.98,23.14,51.94,0.0,100.47,1.02,1.86,0.48,184.38
2013,8,16,0.68,6.34,27.68,35.9,20.38,51.12,0.0,100.44,0.85,1.28,0.49,145.12
