-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2013 through 11/30/2022 
Location: Latitude  -4.253   Longitude -69.935 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 104.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WD10M
2013,2,14,3.44,0.32,25.23,28.47,22.95,90.88,1.37,99.87,0.7,1.11,0.38,46.44
2013,2,15,4.46,0.42,25.38,28.62,22.48,89.25,4.0,99.92,0.68,1.24,0.2,62.19
2013,2,16,4.53,0.42,24.84,27.05,23.02,90.38,1.58,99.8,0.58,1.06,0.05,218.81
2013,2,17,4.77,0.45,25.27,28.33,22.13,88.56,0.4,99.71,0.68,1.16,0.35,127.81
2013,2,18,4.97,0.47,24.87,27.06,23.03,93.81,17.98,99.79,0.78,1.21,0.3,51.5
2013,2,19,3.12,0.29,25.56,29.18,22.39,89.44,18.09,99.76,0.63,1.39,0.1,141.5
2013,2,20,4.43,0.41,24.35,25.59,23.04,95.06,9.22,99.71,0.62,0.96,0.19,116.94
2013,2,21,4.32,0.41,25.12,27.81,22.94,91.56,36.03,99.72,0.67,1.27,0.31,66.94
2013,2,22,2.59,0.24,25.13,27.62,23.11,93.06,24.71,99.85,0.72,1.27,0.12,79.75
2013,2,23,2.59,0.24,24.8,26.85,23.1,95.12,10.15,99.81,0.73,1.23,0.23,145.5
2013,2,24,5.46,0.52,25.59,29.06,22.53,90.88,2.83,99.67,0.77,1.22,0.23,103.94
2013,2,25,5.52,0.52,25.89,28.76,23.3,92.81,12.35,99.57,0.76,1.35,0.4,59.69
2013,2,26,5.45,0.51,25.64,27.56,23.96,95.44,17.21,99.7,0.81,1.21,0.26,162.94
2013,2,27,3.29,0.31,25.33,27.54,23.51,94.5,28.01,99.85,0.73,1.32,0.28,213.69
2013,2,28,4.53,0.43,24.95,27.23,23.02,95.56,25.97,99.75,0.66,1.17,0.34,166.5
2013,3,1,4.48,0.42,25.49,27.98,22.56,89.62,10.85,99.63,0.67,1.18,0.21,88.88
2013,3,2,3.52,0.33,25.68,28.39,24.26,91.5,4.22,99.69,0.47,0.74,0.02,171.44
2013,3,3,4.42,0.41,25.45,28.23,23.24,93.19,8.4,99.86,0.68,0.95,0.25,115.5
2013,3,4,4.35,0.41,25.69,28.72,23.36,90.44,5.15,99.96,0.7,1.2,0.16,160.5
2013,3,5,1.38,0.13,25.24,26.9,23.65,94.44,21.18,99.92,0.57,1.09,0.17,158.94
2013,3,6,5.31,0.5,25.76,29.28,22.98,90.0,1.76,99.86,0.77,1.34,0.43,73.38
2013,3,7,5.73,0.54,25.69,27.61,23.65,90.94,0.77,99.92,0.7,0.99,0.05,65.31
2013,3,8,4.21,0.4,26.46,29.8,23.15,87.94,0.17,99.95,0.89,1.28,0.22,111.44
2013,3,9,4.27,0.41,26.84,30.05,24.03,88.31,0.0,99.81,0.7,1.07,0.27,93.81
2013,3,10,3.77,0.36,26.33,28.55,24.03,92.38,43.12,99.73,0.7,1.34,0.05,77.5
2013,3,11,5.6,0.53,26.83,29.85,24.58,88.19,6.95,99.63,0.58,1.2,0.09,109.69
2013,3,12,4.99,0.48,26.15,28.43,24.03,91.06,0.35,99.65,0.7,1.38,0.09,93.25
2013,3,13,4.04,0.38,26.11,28.87,23.64,93.56,15.76,99.69,0.76,1.47,0.08,121.88
2013,3,14,3.5,0.34,25.94,29.18,23.68,91.56,14.4,99.69,0.62,1.2,0.27,124.12
2013,3,15,5.13,0.49,26.05,29.51,22.98,91.88,8.71,99.68,0.73,1.39,0.19,88.94
2013,3,16,2.97,0.28,25.4,27.89,23.89,94.44,14.06,99.82,0.79,1.07,0.41,134.81
2013,3,17,2.35,0.23,25.77,28.58,23.01,88.88,0.84,99.89,0.62,1.28,0.12,148.69
2013,3,18,5.82,0.55,25.87,29.28,22.83,90.38,1.52,99.84,0.64,1.35,0.1,79.0
2013,3,19,5.18,0.49,26.51,30.01,23.25,88.88,0.81,99.68,0.58,1.17,0.2,132.06
2013,3,20,4.56,0.44,26.54,29.3,24.3,91.12,1.12,99.57,0.73,1.29,0.29,80.94
2013,3,21,5.29,0.51,26.77,29.48,24.19,89.75,6.02,99.64,0.65,1.02,0.06,87.69
2013,3,22,1.66,0.16,25.46,26.9,23.62,95.56,5.52,99.95,0.59,1.0,0.31,151.69
2013,3,23,5.64,0.54,25.81,29.81,22.91,89.69,0.17,99.79,0.64,1.16,0.37,65.88
2013,3,24,6.31,0.61,26.23,29.54,23.15,89.44,4.81,99.63,0.66,1.22,0.3,19.25
2013,3,25,5.69,0.55,26.34,29.57,23.51,91.06,2.23,99.57,0.85,1.2,0.46,52.81
2013,3,26,6.46,0.62,26.62,29.67,24.1,90.94,0.26,99.71,0.84,1.2,0.33,90.94
2013,3,27,3.31,0.32,25.33,27.09,23.1,95.38,42.31,99.89,0.86,1.07,0.59,129.0
2013,3,28,6.05,0.59,25.42,28.56,22.21,90.75,10.23,99.93,0.73,1.09,0.32,189.69
2013,3,29,5.62,0.55,26.05,28.54,22.99,92.12,9.65,99.91,0.67,1.43,0.17,174.38
2013,3,30,4.74,0.46,25.23,26.55,23.94,95.06,14.67,99.98,0.66,1.16,0.07,171.75
2013,3,31,4.22,0.41,26.32,29.63,23.51,89.31,1.88,99.91,0.8,1.27,0.3,85.25
2013,4,1,4.19,0.41,26.43,29.65,23.63,89.88,8.08,99.86,0.89,1.27,0.23,103.25
2013,4,2,4.13,0.41,25.49,27.43,23.9,95.31,25.0,99.92,0.63,0.95,0.24,139.25
2013,4,3,2.23,0.22,25.12,26.67,23.4,95.25,22.2,99.93,0.62,1.3,0.08,146.25
2013,4,4,5.44,0.53,25.69,29.07,22.99,92.31,4.8,99.87,0.62,1.11,0.23,40.62
2013,4,5,4.63,0.45,26.12,28.83,24.16,89.19,2.21,99.87,0.55,1.24,0.06,114.06
2013,4,6,5.17,0.51,26.01,29.11,23.02,93.31,13.04,99.84,0.91,1.45,0.27,68.56
2013,4,7,5.38,0.53,26.51,29.01,24.13,90.75,4.21,99.78,0.7,1.37,0.12,106.06
2013,4,8,4.92,0.48,26.02,28.59,23.74,92.69,0.07,99.79,0.76,1.27,0.24,139.38
2013,4,9,5.68,0.56,26.57,29.64,23.36,87.25,1.11,99.78,0.67,1.18,0.12,117.88
2013,4,10,5.87,0.59,26.45,29.75,23.25,89.75,0.09,99.72,0.72,1.2,0.38,79.44
2013,4,11,4.78,0.48,26.51,29.23,24.33,91.06,9.79,99.64,0.73,1.38,0.27,48.31
2013,4,12,4.82,0.48,26.04,28.39,24.04,93.62,2.95,99.71,0.87,1.37,0.16,72.25
2013,4,13,5.9,0.59,26.51,29.0,23.78,91.31,7.38,99.69,0.65,1.09,0.07,95.88
2013,4,14,2.42,0.24,25.43,27.05,24.15,97.31,8.13,99.83,0.88,1.33,0.38,143.88
2013,4,15,4.04,0.41,25.01,26.5,23.56,96.69,32.13,99.98,0.74,1.19,0.22,156.69
2013,4,16,4.08,0.41,25.41,28.4,22.89,92.06,8.47,99.97,0.84,1.32,0.12,98.81
2013,4,17,3.03,0.3,24.83,26.71,23.25,94.38,14.78,99.92,0.62,1.12,0.09,138.12
2013,4,18,5.71,0.58,25.41,28.21,22.49,91.81,10.97,99.84,0.84,1.47,0.21,152.56
2013,4,19,1.76,0.18,24.39,26.09,23.1,96.81,13.59,99.94,0.65,0.88,0.35,154.88
2013,4,20,4.81,0.49,25.12,27.65,22.51,92.69,12.43,99.97,0.47,1.18,0.09,155.44
2013,4,21,4.18,0.43,25.84,28.51,23.6,90.88,4.69,99.93,0.52,0.98,0.07,203.62
2013,4,22,4.9,0.5,25.97,28.69,23.73,90.69,3.43,99.9,0.65,1.44,0.05,161.88
2013,4,23,6.91,0.71,24.8,28.16,22.05,87.81,0.34,100.01,0.98,1.43,0.69,179.44
2013,4,24,4.77,0.49,23.69,27.27,18.97,89.69,0.9,100.02,0.93,1.28,0.4,220.19
2013,4,25,5.14,0.53,25.68,28.98,21.9,89.0,0.6,99.91,0.87,1.41,0.38,223.88
2013,4,26,5.49,0.57,26.07,28.62,23.55,88.19,0.0,99.86,0.75,1.27,0.06,234.06
2013,4,27,5.17,0.54,26.46,29.44,23.33,88.88,0.0,99.72,0.62,1.29,0.16,182.44
2013,4,28,4.77,0.5,25.88,28.28,23.12,93.0,2.11,99.7,0.76,1.34,0.24,118.44
2013,4,29,3.96,0.41,25.38,27.23,23.73,94.94,20.96,99.81,0.62,0.88,0.05,165.31
2013,4,30,4.98,0.52,25.71,28.26,23.99,92.38,18.8,99.86,0.62,1.22,0.28,140.62
2013,5,1,4.69,0.49,25.04,27.41,23.29,91.81,3.05,99.95,0.62,1.24,0.08,100.62
2013,5,2,4.8,0.51,25.93,29.51,22.22,89.06,0.05,99.92,0.75,1.27,0.22,108.5
2013,5,3,5.29,0.55,26.24,29.34,23.51,89.5,0.01,99.84,0.7,1.34,0.2,67.38
2013,5,4,5.49,0.58,25.9,28.99,23.26,91.5,0.0,99.8,0.8,1.34,0.29,95.06
2013,5,5,5.37,0.57,26.17,28.48,23.66,90.88,0.04,99.89,0.55,0.97,0.2,144.56
2013,5,6,4.55,0.48,25.45,27.49,23.95,92.38,0.15,100.06,0.82,1.34,0.26,164.69
2013,5,7,3.55,0.38,25.19,27.68,23.64,91.62,0.29,100.19,0.58,0.9,0.39,154.06
2013,5,8,5.04,0.54,25.4,28.52,22.12,88.5,3.1,100.2,0.62,1.04,0.06,201.81
2013,5,9,4.71,0.51,25.44,28.56,22.62,91.31,2.5,100.1,0.6,1.33,0.1,141.62
2013,5,10,4.41,0.48,26.03,28.65,24.08,91.88,9.33,99.98,0.5,1.11,0.08,76.81
2013,5,11,5.03,0.54,24.92,26.79,23.51,96.5,5.97,99.93,0.83,1.32,0.26,38.06
2013,5,12,3.97,0.43,25.44,28.51,22.98,90.38,2.07,99.88,0.59,1.28,0.05,74.69
2013,5,13,3.84,0.41,25.62,28.1,23.84,91.56,3.89,99.89,0.67,1.23,0.15,101.94
2013,5,14,3.56,0.39,25.84,28.81,23.13,92.12,6.43,99.86,0.85,1.38,0.22,72.94
2013,5,15,3.79,0.41,26.23,29.08,23.69,88.94,4.62,99.79,0.55,1.04,0.09,73.0
2013,5,16,4.97,0.55,25.98,29.17,22.99,91.12,7.15,99.8,0.8,1.4,0.23,120.88
2013,5,17,4.27,0.47,24.73,26.22,23.44,97.56,6.66,99.92,0.67,1.28,0.05,242.38
2013,5,18,2.69,0.3,25.06,27.71,22.77,94.31,2.41,100.0,0.77,1.33,0.07,150.31
2013,5,19,3.32,0.37,25.04,27.78,23.15,94.44,5.69,100.0,0.85,1.38,0.26,144.88
2013,5,20,3.75,0.41,25.99,29.37,23.06,91.0,0.87,99.87,0.94,1.38,0.26,133.06
2013,5,21,4.76,0.52,26.16,29.23,23.0,89.12,0.06,99.8,0.91,1.43,0.18,124.88
2013,5,22,2.09,0.23,25.03,27.62,23.4,94.25,42.22,99.85,0.65,1.16,0.06,245.12
2013,5,23,2.54,0.28,24.83,27.04,22.83,93.31,10.0,99.97,0.62,1.03,0.27,233.88
2013,5,24,4.08,0.45,25.48,28.39,23.63,90.25,0.63,99.99,0.47,0.84,0.2,133.38
2013,5,25,3.63,0.41,25.15,27.4,22.83,92.0,19.88,100.04,0.55,0.96,0.15,81.44
2013,5,26,2.7,0.3,24.29,26.86,22.43,94.88,34.55,100.05,0.58,1.16,0.19,135.94
2013,5,27,4.48,0.5,24.73,28.25,21.96,89.69,11.79,99.93,0.71,1.39,0.04,221.56
2013,5,28,4.44,0.5,24.83,27.75,22.37,92.69,2.79,99.86,0.91,1.41,0.26,34.5
2013,5,29,3.8,0.43,24.9,28.09,22.01,93.12,5.89,99.82,0.8,1.3,0.23,50.0
2013,5,30,4.95,0.55,25.25,28.05,22.31,90.94,2.17,99.89,0.66,1.35,0.12,88.56
2013,5,31,4.07,0.46,25.24,27.19,23.71,92.62,4.95,99.95,0.5,1.24,0.04,227.62
2013,6,1,4.88,0.55,25.76,28.71,23.12,88.56,0.17,99.97,0.55,1.23,0.12,246.94
2013,6,2,5.07,0.57,25.22,27.47,23.27,91.38,3.33,100.09,0.62,1.06,0.04,208.19
2013,6,3,4.88,0.55,25.19,27.8,22.54,92.81,8.27,100.06,0.77,1.27,0.16,133.25
2013,6,4,4.84,0.55,25.12,27.82,22.69,91.62,0.9,100.07,0.78,1.41,0.08,171.0
2013,6,5,5.15,0.59,25.11,28.23,22.23,92.38,9.39,99.96,0.94,1.35,0.3,173.69
2013,6,6,3.61,0.41,25.07,28.18,22.38,93.12,4.26,99.96,0.88,1.42,0.2,161.75
2013,6,7,4.62,0.52,25.16,28.4,22.38,92.0,1.87,100.05,0.98,1.38,0.49,134.0
2013,6,8,3.63,0.41,24.8,27.58,22.12,90.88,1.54,100.13,0.88,1.3,0.22,135.69
2013,6,9,5.03,0.57,25.26,28.29,21.98,89.5,1.92,100.04,0.73,1.11,0.18,137.19
2013,6,10,3.4,0.39,24.91,27.39,22.94,91.12,2.26,100.01,0.62,1.37,0.05,196.62
2013,6,11,4.21,0.48,25.1,28.3,21.82,90.44,5.3,100.04,0.72,1.5,0.14,238.88
2013,6,12,5.55,0.63,25.37,28.39,22.57,91.12,1.33,100.09,0.79,1.42,0.24,128.06
2013,6,13,4.77,0.55,25.73,28.46,22.67,89.5,3.59,100.04,0.73,1.34,0.16,122.56
2013,6,14,4.15,0.48,25.61,28.44,22.65,88.94,0.67,99.97,0.59,1.31,0.12,139.44
2013,6,15,4.44,0.51,26.12,28.55,23.75,87.56,9.98,99.92,0.32,0.56,0.15,129.81
2013,6,16,4.41,0.51,26.12,28.75,23.51,90.5,11.53,99.82,0.59,1.28,0.1,54.44
2013,6,17,3.38,0.39,26.17,28.73,23.96,90.56,2.62,99.86,0.66,1.1,0.13,88.62
2013,6,18,4.67,0.54,25.96,28.58,23.64,88.19,0.14,99.84,0.68,1.19,0.16,155.25
2013,6,19,4.8,0.55,25.12,27.97,22.45,93.12,21.93,99.83,0.76,1.19,0.16,174.0
2013,6,20,4.73,0.54,25.02,27.53,22.63,92.19,3.36,99.88,0.77,1.37,0.14,138.38
2013,6,21,5.03,0.58,25.69,28.57,22.84,88.31,3.35,99.92,0.5,1.07,0.07,158.31
2013,6,22,5.16,0.59,26.12,29.18,22.42,87.62,1.27,99.87,0.66,1.41,0.19,159.69
2013,6,23,4.89,0.56,25.51,28.01,23.18,92.56,3.11,99.89,0.84,1.29,0.14,97.38
2013,6,24,4.49,0.52,25.4,27.86,23.54,91.5,0.53,99.99,0.69,1.35,0.18,88.19
2013,6,25,5.45,0.62,25.44,28.91,22.6,89.88,0.52,99.99,0.81,1.41,0.09,249.88
2013,6,26,5.61,0.64,25.53,28.53,22.99,90.56,0.1,99.98,0.86,1.37,0.2,130.75
2013,6,27,5.53,0.63,25.92,28.94,22.87,89.25,0.0,100.03,0.73,1.41,0.16,71.88
2013,6,28,4.53,0.52,25.4,27.82,23.44,92.06,3.33,99.87,0.63,1.34,0.02,247.19
2013,6,29,4.18,0.48,25.42,27.83,23.3,93.06,21.33,99.88,0.48,1.1,0.16,218.56
2013,6,30,5.01,0.57,24.53,27.56,22.51,93.19,3.89,99.98,0.69,1.34,0.17,295.06
2013,7,1,4.53,0.52,24.74,27.94,22.4,90.44,1.67,100.11,0.69,1.39,0.2,134.5
2013,7,2,3.96,0.45,24.46,27.86,21.33,88.06,0.95,100.15,0.6,1.38,0.09,237.38
2013,7,3,4.23,0.48,24.79,27.76,21.82,87.44,0.01,100.1,0.73,1.27,0.28,196.25
2013,7,4,5.09,0.58,25.05,28.54,22.07,88.25,0.35,100.08,0.83,1.49,0.23,52.31
2013,7,5,4.5,0.52,24.26,26.89,22.45,94.0,4.88,100.15,0.73,1.34,0.24,83.31
2013,7,6,4.92,0.56,24.85,27.91,21.88,90.88,11.09,100.0,0.7,1.27,0.16,84.06
2013,7,7,3.62,0.41,24.19,25.65,22.59,96.06,38.48,100.02,0.64,1.28,0.15,167.25
2013,7,8,4.14,0.47,24.22,26.71,22.08,92.88,13.29,100.2,0.64,1.24,0.16,158.38
2013,7,9,4.99,0.56,25.01,27.75,22.59,89.06,5.17,100.18,0.59,0.9,0.13,134.62
2013,7,10,4.67,0.53,25.13,28.08,22.72,86.44,3.08,100.14,0.51,1.15,0.09,205.75
2013,7,11,5.03,0.57,24.42,27.6,21.65,92.06,0.28,100.05,0.84,1.4,0.26,281.31
2013,7,12,3.16,0.36,24.63,27.98,21.98,91.56,0.0,100.07,0.83,1.4,0.25,171.0
2013,7,13,4.18,0.47,25.08,28.19,21.75,87.19,0.39,100.07,0.57,1.42,0.11,212.56
2013,7,14,5.5,0.62,25.2,28.62,22.15,88.69,3.07,100.03,0.86,1.55,0.41,152.94
2013,7,15,5.0,0.56,25.19,28.73,21.79,89.56,0.58,100.06,0.87,1.56,0.3,107.81
2013,7,16,3.21,0.36,24.64,26.95,22.12,94.38,17.04,100.07,0.88,1.38,0.34,143.56
2013,7,17,5.09,0.57,25.26,28.72,21.98,91.25,4.33,100.05,0.83,1.41,0.23,176.75
2013,7,18,5.05,0.56,24.95,27.62,22.5,92.19,5.41,100.01,0.74,1.25,0.16,134.19
2013,7,19,3.61,0.41,25.29,28.44,22.4,89.0,0.41,100.0,0.69,1.38,0.16,152.75
2013,7,20,5.32,0.59,24.73,27.53,22.59,92.12,6.07,99.94,0.73,1.34,0.09,189.5
2013,7,21,5.74,0.64,25.58,28.97,22.44,88.12,0.72,99.91,0.73,1.41,0.24,151.19
2013,7,22,2.98,0.33,25.35,28.13,22.88,89.38,1.71,100.02,0.74,1.32,0.08,143.69
2013,7,23,4.59,0.51,25.82,28.9,23.01,86.5,0.62,99.97,0.68,1.41,0.17,113.19
2013,7,24,2.33,0.26,24.96,28.71,21.73,87.44,0.2,99.99,1.19,1.45,0.89,141.69
2013,7,25,4.22,0.47,21.88,24.64,18.9,83.56,0.0,100.44,1.18,1.73,0.57,167.19
2013,7,26,4.5,0.49,21.27,25.33,17.5,85.62,0.0,100.52,0.84,1.26,0.45,190.69
2013,7,27,4.45,0.49,22.94,27.08,18.69,85.56,0.0,100.34,0.78,1.47,0.16,148.94
2013,7,28,4.42,0.48,24.33,27.9,20.81,88.25,1.31,100.24,0.8,1.52,0.17,154.25
2013,7,29,4.46,0.48,25.05,28.7,21.41,89.75,1.54,100.21,0.87,1.4,0.27,171.19
2013,7,30,5.51,0.6,25.69,28.94,22.46,88.38,2.33,100.19,0.88,1.48,0.17,123.0
2013,7,31,4.17,0.45,25.08,27.21,22.95,89.94,7.71,100.15,0.6,1.27,0.08,147.69
2013,8,1,4.9,0.53,24.76,27.98,22.3,91.19,6.74,100.08,0.88,1.4,0.27,154.88
2013,8,2,5.24,0.57,25.94,29.33,22.32,85.12,0.92,100.04,0.61,1.36,0.12,154.25
2013,8,3,5.01,0.54,25.8,28.37,23.23,85.62,0.15,100.05,0.47,1.16,0.1,206.75
2013,8,4,5.28,0.57,25.84,29.33,22.27,86.56,0.02,99.98,0.66,1.45,0.07,223.56
2013,8,5,4.01,0.43,25.55,27.88,22.83,90.69,8.2,99.94,0.52,1.19,0.05,232.25
2013,8,6,4.89,0.52,25.76,28.72,23.44,87.94,1.7,99.97,0.64,0.98,0.22,67.75
2013,8,7,5.55,0.59,25.98,29.34,23.17,86.19,0.0,99.88,0.68,1.58,0.13,135.56
2013,8,8,5.26,0.56,25.91,29.4,22.15,87.12,4.89,99.71,0.66,1.39,0.09,159.44
2013,8,9,3.95,0.42,25.5,28.57,23.31,91.62,1.38,99.79,0.72,1.48,0.45,55.94
2013,8,10,5.94,0.63,25.05,27.7,22.66,93.62,23.57,99.92,0.67,1.23,0.16,98.81
2013,8,11,2.36,0.25,23.31,25.08,21.34,94.88,13.24,100.07,0.73,1.09,0.3,170.31
2013,8,12,5.6,0.59,23.72,27.51,20.04,85.81,0.02,99.95,0.78,1.45,0.27,131.0
2013,8,13,5.32,0.56,24.76,28.8,20.79,87.25,8.37,99.9,0.75,1.33,0.12,77.88
2013,8,14,2.32,0.24,24.68,27.15,22.34,95.25,11.38,99.98,0.86,1.36,0.22,115.31
2013,8,15,5.56,0.59,23.61,26.51,20.62,90.5,2.89,100.17,0.91,1.42,0.62,151.25
2013,8,16,5.73,0.6,22.86,27.05,17.99,82.19,0.0,100.14,0.8,1.27,0.23,193.0
